id,customer_code,name,name_te,phone,address,village_id,notes,data_source
bcac6c54-1206-56b3-a3eb-a1ba9aaf85d6,SYN-RNT-CUS-001,Rental Customer 1,అద్దెకు కస్టమర్ 1,9855510001,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
c6e1c84d-a86e-5139-8308-bef65cd5ec2a,SYN-RNT-CUS-002,Rental Customer 2,అద్దెకు కస్టమర్ 2,9855510002,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b28a039f-237e-5854-a44c-642496187049,SYN-RNT-CUS-003,Rental Customer 3,అద్దెకు కస్టమర్ 3,9855510003,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
970d2201-9251-5a79-a9e4-7e2d52e74a09,SYN-RNT-CUS-004,Rental Customer 4,అద్దెకు కస్టమర్ 4,9855510004,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
75d38557-f44e-5d63-ab25-9514abe8557b,SYN-RNT-CUS-005,Rental Customer 5,అద్దెకు కస్టమర్ 5,9855510005,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
e73f3453-af9f-514d-bdfa-0e81412387d7,SYN-RNT-CUS-006,Rental Customer 6,అద్దెకు కస్టమర్ 6,9855510006,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
96d38e7f-a2da-55be-96ac-5d1691682796,SYN-RNT-CUS-007,Rental Customer 7,అద్దెకు కస్టమర్ 7,9855510007,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
f63fb31e-845f-5f3d-b356-b2d6dfb5024d,SYN-RNT-CUS-008,Rental Customer 8,అద్దెకు కస్టమర్ 8,9855510008,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
a5e0b167-2c60-50ac-8775-e32b8ae5b3e2,SYN-RNT-CUS-009,Rental Customer 9,అద్దెకు కస్టమర్ 9,9855510009,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
6eebdd59-0221-534e-8aef-061ce4aee634,SYN-RNT-CUS-010,Rental Customer 10,అద్దెకు కస్టమర్ 10,9855510010,Bhairkhanpally area,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
