id,farmer_code,full_name,full_name_te,father_name,phone_primary,phone_secondary,village_id,address,address_te,aadhaar_last4,status,notes,data_source
adee696a-53c2-50bd-acba-1bdee1019dac,SYN-FMR-001,Rama Reddy,రామ రెడ్డి,Venkat Reddy,9876510001,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 1, Bhairkhanpally, Telangana","హెచ్.నం 1, భైర్ఖాన్‌పల్లి",1001,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
c5243872-96d3-558c-ac8f-1e901a0e9f28,SYN-FMR-002,Lakshmi Devi,లక్ష్మీ దేవి,Narayana,9876510002,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 2, Bhairkhanpally, Telangana","హెచ్.నం 2, భైర్ఖాన్‌పల్లి",1002,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
c60f441e-aa0e-59bf-824a-624fd5bcd25a,SYN-FMR-003,Srinivas Rao,శ్రీనివాస్ రావు,Rama Rao,9876510003,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 3, Bhairkhanpally, Telangana","హెచ్.నం 3, భైర్ఖాన్‌పల్లి",1003,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
5ab7d3e2-e9cc-5859-bdbc-46f09de27fa8,SYN-FMR-004,Padmavathi,పద్మావతి,Krishna,9876510004,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 4, Bhairkhanpally, Telangana","హెచ్.నం 4, భైర్ఖాన్‌పల్లి",1004,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
e23f1a83-3a70-5313-b980-1dc1a498a8f3,SYN-FMR-005,Venkatesh Goud,వెంకటేష్ గౌడ్,Malla Goud,9876510005,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 5, Bhairkhanpally, Telangana","హెచ్.నం 5, భైర్ఖాన్‌పల్లి",1005,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
84f8d927-f24e-5037-871e-697196070402,SYN-FMR-006,Anjali,అంజలి,Ravi,9876510006,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 6, Bhairkhanpally, Telangana","హెచ్.నం 6, భైర్ఖాన్‌పల్లి",1006,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
24374f65-2e9d-5ebd-880d-31b313d58b99,SYN-FMR-007,Rajender,రాజేందర్,Saidulu,9876510007,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 7, Bhairkhanpally, Telangana","హెచ్.నం 7, భైర్ఖాన్‌పల్లి",1007,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b46ad471-88b4-5059-af95-a2291bb6b93f,SYN-FMR-008,Sunitha,సునీత,Balakrishna,9876510008,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 8, Bhairkhanpally, Telangana","హెచ్.నం 8, భైర్ఖాన్‌పల్లి",1008,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
931f529a-503d-533c-bec3-adb440066644,SYN-FMR-009,Mohan Rao,మోహన్ రావు,Venkata Rao,9876510009,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 9, Bhairkhanpally, Telangana","హెచ్.నం 9, భైర్ఖాన్‌పల్లి",1009,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
8ca25e8f-3286-506e-b86c-cf78499cbca0,SYN-FMR-010,Kavitha,కవిత,Narsaiah,9876510010,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 10, Bhairkhanpally, Telangana","హెచ్.నం 10, భైర్ఖాన్‌పల్లి",1010,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
87bbd5a3-3bbe-573a-a7f9-6e1f95f1fdba,SYN-FMR-011,Chandraiah,చంద్రయ్య,Balaiah,9876510011,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 11, Bhairkhanpally, Telangana","హెచ్.నం 11, భైర్ఖాన్‌పల్లి",1011,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
5249407a-5f5a-5e28-831a-a633e8ff7efa,SYN-FMR-012,Swaroopa,స్వరూప,Mallaiah,9876510012,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 12, Bhairkhanpally, Telangana","హెచ్.నం 12, భైర్ఖాన్‌పల్లి",1012,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
eab53f31-02a3-5c3b-8740-8ff1a7e4cff4,SYN-FMR-013,Nagesh,నాగేష్,Ramaiah,9876510013,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 13, Bhairkhanpally, Telangana","హెచ్.నం 13, భైర్ఖాన్‌పల్లి",1013,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
c35fb433-6404-5672-b66f-5f62d0b4dc15,SYN-FMR-014,Vijaya,విజయ,Srinu,9876510014,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 14, Bhairkhanpally, Telangana","హెచ్.నం 14, భైర్ఖాన్‌పల్లి",1014,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
2710acc5-cd4c-5876-ad24-d5416cd040b5,SYN-FMR-015,Prabhakar,ప్రభాకర్,Venkaiah,9876510015,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 15, Bhairkhanpally, Telangana","హెచ్.నం 15, భైర్ఖాన్‌పల్లి",1015,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d3672b5a-1ab8-5a43-86e4-2f1f8a684393,SYN-FMR-016,Shailaja,శైలజ,Komuraiah,9876510016,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 16, Bhairkhanpally, Telangana","హెచ్.నం 16, భైర్ఖాన్‌పల్లి",1016,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
a5160272-e428-5c25-b4ca-55b56dd6a1c2,SYN-FMR-017,Ramesh Goud,రమేష్ గౌడ్,Bixam Goud,9876510017,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 17, Bhairkhanpally, Telangana","హెచ్.నం 17, భైర్ఖాన్‌పల్లి",1017,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
41a010ef-e1a9-552a-824a-ac8b5bc6a4e6,SYN-FMR-018,Haritha,హరిత,Yadaiah,9876510018,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 18, Bhairkhanpally, Telangana","హెచ్.నం 18, భైర్ఖాన్‌పల్లి",1018,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
01213c68-e6ce-5141-84ed-04d7577bbec7,SYN-FMR-019,Suresh,సురేష్,Laxmaiah,9876510019,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 19, Bhairkhanpally, Telangana","హెచ్.నం 19, భైర్ఖాన్‌పల్లి",1019,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
9febcfb4-314c-5159-89a9-f56738306649,SYN-FMR-020,Manjula,మంజుల,Peddaiah,9876510020,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 20, Bhairkhanpally, Telangana","హెచ్.నం 20, భైర్ఖాన్‌పల్లి",1020,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
4f82da27-704a-56cf-99b4-1c72eb8cafd6,SYN-FMR-021,Krishna Murthy,కృష్ణ మూర్తి,Venkatesham,9876510021,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 21, Bhairkhanpally, Telangana","హెచ్.నం 21, భైర్ఖాన్‌పల్లి",1021,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d8b6ba35-39d2-5f67-9971-e2203da0de0c,SYN-FMR-022,Nirmala,నిర్మల,Sathaiah,9876510022,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 22, Bhairkhanpally, Telangana","హెచ్.నం 22, భైర్ఖాన్‌పల్లి",1022,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d34fb40d-0a1f-5dfe-9afb-803175d24e26,SYN-FMR-023,Gopal,గోపాల్,Mogili,9876510023,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 23, Bhairkhanpally, Telangana","హెచ్.నం 23, భైర్ఖాన్‌పల్లి",1023,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d79ad6b7-b73e-54c2-9ea1-822bb4d4554e,SYN-FMR-024,Savithri,సావిత్రి,Rangiah,9876510024,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 24, Bhairkhanpally, Telangana","హెచ్.నం 24, భైర్ఖాన్‌పల్లి",1024,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b9a7b8f1-c7d2-59de-976e-c64fa2dbf2ef,SYN-FMR-025,Mahesh,మహేష్,Kistaiah,9876510025,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 25, Bhairkhanpally, Telangana","హెచ్.నం 25, భైర్ఖాన్‌పల్లి",1025,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
94dd0a69-bd62-5b21-9ecd-debd59365206,SYN-FMR-026,Lalitha,లలిత,Narayana,9876510026,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 26, Bhairkhanpally, Telangana","హెచ్.నం 26, భైర్ఖాన్‌పల్లి",1026,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
0423553d-c603-5259-85a2-df1e0b624403,SYN-FMR-027,Venkatesham,వెంకటేశం,Balaiah,9876510027,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 27, Bhairkhanpally, Telangana","హెచ్.నం 27, భైర్ఖాన్‌పల్లి",1027,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
dbd2937a-c59d-5a9d-a0fb-76f4cf8398a2,SYN-FMR-028,Jyothi,జ్యోతి,Saidulu,9876510028,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 28, Bhairkhanpally, Telangana","హెచ్.నం 28, భైర్ఖాన్‌పల్లి",1028,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
70ccacd5-972a-50c6-a77d-585aefc9e7b9,SYN-FMR-029,Balaji,బాలాజీ,Ramaiah,9876510029,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 29, Bhairkhanpally, Telangana","హెచ్.నం 29, భైర్ఖాన్‌పల్లి",1029,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
23433e80-4b4d-5fc9-828c-d1237653f7e8,SYN-FMR-030,Sujatha,సుజాత,Mallaiah,9876510030,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 30, Bhairkhanpally, Telangana","హెచ్.నం 30, భైర్ఖాన్‌పల్లి",1030,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
ed4fafc7-6f7f-586d-bccc-8e445a6c95a3,SYN-FMR-031,Narayana Goud,నారాయణ గౌడ్,Bojja Goud,9876510031,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 31, Bhairkhanpally, Telangana","హెచ్.నం 31, భైర్ఖాన్‌పల్లి",1031,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
777fa239-e1b9-5891-bef8-b6500c7b8824,SYN-FMR-032,Radha,రాధ,Komuraiah,9876510032,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 32, Bhairkhanpally, Telangana","హెచ్.నం 32, భైర్ఖాన్‌పల్లి",1032,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
9e0bcbe3-5678-5b4b-a6a5-64520cb23ff4,SYN-FMR-033,Siddaiah,సిద్దయ్య,Venkataiah,9876510033,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 33, Bhairkhanpally, Telangana","హెచ్.నం 33, భైర్ఖాన్‌పల్లి",1033,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
deb4c617-e88b-5975-bb0e-5c244580e5bd,SYN-FMR-034,Pramila,ప్రమిల,Yadaiah,9876510034,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 34, Bhairkhanpally, Telangana","హెచ్.నం 34, భైర్ఖాన్‌పల్లి",1034,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
e1718eba-bbf2-599a-a144-583cf98a23d3,SYN-FMR-035,Raghavender,రాఘవేందర్,Laxmaiah,9876510035,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 35, Bhairkhanpally, Telangana","హెచ్.నం 35, భైర్ఖాన్‌పల్లి",1035,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
80552a75-5918-5180-8b53-f814269fbab3,SYN-FMR-036,Mamatha,మమత,Peddaiah,9876510036,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 36, Bhairkhanpally, Telangana","హెచ్.నం 36, భైర్ఖాన్‌పల్లి",1036,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
24aff973-7678-5689-a9ed-67f64a577d80,SYN-FMR-037,Yadaiah,యాదయ్య,Balaiah,9876510037,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 37, Bhairkhanpally, Telangana","హెచ్.నం 37, భైర్ఖాన్‌పల్లి",1037,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
4a3307b7-74ab-512f-8369-aeb5f02cb65c,SYN-FMR-038,Swapna,స్వప్న,Rama Rao,9876510038,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 38, Bhairkhanpally, Telangana","హెచ్.నం 38, భైర్ఖాన్‌పల్లి",1038,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d0948db4-f218-5454-8105-b6f888e98eb2,SYN-FMR-039,Kistaiah,కిస్టయ్య,Mogili,9876510039,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 39, Bhairkhanpally, Telangana","హెచ్.నం 39, భైర్ఖాన్‌పల్లి",1039,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
57090268-e509-52e9-a8dc-76a310543e4d,SYN-FMR-040,Aruna,అరుణ,Srinivas,9876510040,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 40, Bhairkhanpally, Telangana","హెచ్.నం 40, భైర్ఖాన్‌పల్లి",1040,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
1a72d6d2-3a5e-5d1e-afcb-7cbd0c3a98a2,SYN-FMR-041,Balaiah,బాలయ్య,Rangiah,9876510041,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 41, Bhairkhanpally, Telangana","హెచ్.నం 41, భైర్ఖాన్‌పల్లి",1041,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
7b13273e-85cd-5a8d-b67c-44f706f6957e,SYN-FMR-042,Deepa,దీప,Narayana,9876510042,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 42, Bhairkhanpally, Telangana","హెచ్.నం 42, భైర్ఖాన్‌పల్లి",1042,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
62da20c7-3d66-5a59-8ced-4312314e393c,SYN-FMR-043,Mallaiah,మల్లయ్య,Venkatesham,9876510043,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 43, Bhairkhanpally, Telangana","హెచ్.నం 43, భైర్ఖాన్‌పల్లి",1043,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b293a166-efff-5a60-bd1c-ff7065fc3cf3,SYN-FMR-044,Geetha,గీత,Sathaiah,9876510044,,97bc8297-5f82-5ad6-8e5c-de4c04c0e7d6,"H.No 44, Bhairkhanpally, Telangana","హెచ్.నం 44, భైర్ఖాన్‌పల్లి",1044,active,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
